Date,Zillow,CoreLogic,Case-Shiller
Jan-03,7.225743074,9.698289343,9.62727585
Feb-03,7.30192138,9.63702915,9.758809442
Mar-03,7.364623865,9.588352827,9.64979225
Apr-03,7.443370045,9.498629695,9.462293432
May-03,7.529367742,9.265553155,9.148108287
Jun-03,7.5816759,9.005946912,8.910324532
Jul-03,7.609133336,8.824841453,8.860861832
Aug-03,7.645947825,8.97316655,9.011464764
Sep-03,7.732355088,9.379069515,9.235795681
Oct-03,7.813521685,9.879450094,9.386396068
Nov-03,7.859225082,10.31222252,9.57833228
Dec-03,7.874418694,10.87721418,9.815178923
Jan-04,7.94317307,11.36955902,10.23110067
Feb-04,8.096428232,11.77801798,10.67560196
Mar-04,8.318547322,12.34328424,11.42216379
Apr-04,8.566925588,13.01115382,12.02390988
May-04,8.860814556,13.51100563,12.50758495
Jun-04,9.215978067,14.15822826,12.97755761
Jul-04,9.604578692,14.52984308,13.13776457
Aug-04,9.929026166,14.59493355,13.1205413
Sep-04,10.1790866,14.73446412,13.15290341
Oct-04,10.37518315,14.99263543,13.27728656
Nov-04,10.58111091,15.21438041,13.49715356
Dec-04,10.83142096,15.48759788,13.6360381
Jan-05,11.06481045,15.58266792,13.80143558
Feb-05,11.24086139,15.83483119,14.00408364
Mar-05,11.36185414,16.23143624,14.22820655
Apr-05,11.5443108,16.38037986,14.24271446
May-05,11.67249873,16.22768679,14.29919773
Jun-05,11.78083586,16.01272142,14.2838161
Jul-05,11.80536511,15.88578483,14.28383878
Aug-05,11.85582151,16.03565421,14.3748781
Sep-05,11.89444966,16.2709641,14.50583457
Oct-05,11.90740438,15.99054217,14.36340371
Nov-05,11.87730988,15.61342429,14.07619048
Dec-05,11.7407239,15.19156467,13.51232117
Jan-06,11.50039536,14.68538208,12.92699682
Feb-06,11.19787419,13.81682126,12.0923913
Mar-06,10.89325301,12.50145811,11.0402236
Apr-06,10.50704429,10.95992404,9.97005988
May-06,10.05065711,9.343219667,8.753096614
Jun-06,9.451770026,7.497426106,7.28403674
Jul-06,8.728712594,5.901713435,6.036760482
Aug-06,7.915832656,4.510358936,4.826057299
Sep-06,7.02325878,3.320868548,3.710376668
Oct-06,6.174616061,2.408917104,2.970629371
Nov-06,5.360751161,1.44758363,2.204040741
Dec-06,4.630618294,0.35479147,1.732274721
Jan-07,3.99508824,-0.546324303,1.045180556
Feb-07,3.404692276,-1.387762454,0.534435262
Mar-07,2.789288755,-2.685940559,-0.306429549
Apr-07,2.135743561,-3.566999653,-0.827661312
May-07,1.438053611,-4.228551821,-1.350471852
Jun-07,0.756483484,-4.544087749,-1.63099431
Jul-07,0.09944614,-4.87632966,-1.960890526
Aug-07,-0.479310234,-5.453176197,-2.261265658
Sep-07,-0.997006688,-6.35996251,-2.757871878
Oct-07,-1.485361588,-7.505477501,-3.547756166
Nov-07,-1.994278522,-8.661138454,-4.612536078
Dec-07,-2.494050888,-9.742807871,-5.397587731
Jan-08,-3.058095578,-10.93208455,-6.370402802
Feb-08,-3.685686959,-12.06267912,-7.277908697
Mar-08,-4.382484705,-12.72759334,-7.837971349
Apr-08,-5.114689289,-13.30802171,-8.131554384
May-08,-5.775984834,-13.42397784,-8.175270768
Jun-08,-6.395820816,-13.46453281,-8.262641842
Jul-08,-6.963052907,-13.77762738,-8.442455384
Aug-08,-7.635778179,-14.18426632,-8.854860186
Sep-08,-8.230930928,-15.00096807,-9.608083966
Oct-08,-8.780222538,-15.79331639,-10.34754689
Nov-08,-9.232292474,-16.28014813,-10.89860699
Dec-08,-9.681325386,-17.05873351,-11.99376947
Jan-09,-10.02643754,-17.54850114,-12.69581482
Feb-09,-10.1398319,-17.12459435,-12.74898044
Mar-09,-10.14252077,-16.34369626,-12.74492288
Apr-09,-10.06948965,-15.07591083,-12.18025341
May-09,-10.01005963,-13.36007181,-11.28607352
Jun-09,-9.855552507,-11.61638459,-10.05163925
Jul-09,-9.582262211,-10.07628761,-9.027819685
Aug-09,-9.169551037,-8.708125533,-8.284635987
Sep-09,-8.731035666,-7.484884723,-7.584460503
Oct-09,-8.21041154,-5.856764961,-6.647398844
Nov-09,-7.483406226,-3.886754667,-5.209201
Dec-09,-6.640961952,-2.240464084,-3.861029171
Jan-10,-5.767071392,-1.423349448,-2.919121585
Feb-10,-5.098717257,-1.437594617,-3.089012329
Mar-10,-4.40245208,-0.289177199,-1.986212545
Apr-10,-3.660825361,0.812069699,-1.048046822
May-10,-2.939381666,1.030251693,-0.762637511
Jun-10,-2.421537826,0.675520161,-1.401869159
Jul-10,-2.240605368,-0.190072648,-2.116086235
Aug-10,-2.20721662,-1.220488125,-2.814097033
Sep-10,-2.311272776,-2.114959021,-3.354942191
Oct-10,-2.516805533,-2.777669291,-3.668057612
Nov-10,-2.95707596,-3.564397611,-4.136812221
Dec-10,-3.447584909,-3.707821228,-4.104732033
Jan-11,-3.945632019,-3.613776544,-4.103448276
Feb-11,-4.369216026,-3.538192564,-3.718719418
