Date,Institutional leveraged loans,High-yield and unrated bonds
2004 Q2,15.56999207,-12.79978299
2004 Q3,6.330001831,-4.74446868
2004 Q4,20.88000488,-14.74278875
2005 Q1,10.5,2.973694872
2005 Q2,16.8999939,-6.398306469
2005 Q3,7.279998779,-12.99104079
2005 Q4,20.61000061,2.728488838
2006 Q1,27.1599884,-13.6646226
2006 Q2,40.14001465,12.5665759
2006 Q3,17.85998535,-5.588804461
2006 Q4,66.30001831,30.50879834
2007 Q1,40.67999268,0.194383535
2007 Q2,54.30999756,23.34617263
2007 Q3,25.72000122,-7.043005638
2007 Q4,36.05999756,-10.42257904
2008 Q1,2.210021973,-20.13789914
2008 Q2,26.2199707,3.032243335
2008 Q3,6.600036621,-0.411358803
2008 Q4,4.799987793,-23.87502404
2009 Q1,-11.82000732,-26.26524576
2009 Q2,-15.5300293,1.710221449
2009 Q3,-13.25994873,-9.790920668
2009 Q4,-24.9800415,-9.411476421
2010 Q1,-17.84997559,3.240441218
2010 Q2,-9.710021973,13.21006039
2010 Q3,11.76000977,14.20725091
2010 Q4,-15.33999634,25.00720073
2011 Q1,-4.489990234,0.297346576
2011 Q2,25.48995972,16.3955841
2011 Q3,-5.50994873,-7.893813525
2011 Q4,3.909973145,3.679949347
2012 Q1,-6.470001221,23.11510889
2012 Q2,18.44998169,-13.41272509
2012 Q3,-4.380004883,38.55129945
2012 Q4,25.96002197,21.51443324
2013 Q1,11.29998779,23.0538808
2013 Q2,31.30999756,18.3031483
2013 Q3,45.16003418,25.86382232
2013 Q4,43.53997803,22.54471547
2014 Q1,29.44000244,16.1404125
2014 Q2,45.61999512,14.93672501
2014 Q3,48.41998291,32.90894741
2014 Q4,26.18005371,4.016218491
2015 Q1,6.459960938,32.91856831
2015 Q2,-3.109985352,3.914692089
2015 Q3,8.58001709,-0.700200462
2015 Q4,28.79998779,-13.40292742
2016 Q1,9.08996582,-0.651168015
2016 Q2,4.99005127,2.35545932
2016 Q3,-12.88000488,-4.235024127
2016 Q4,7.190002441,-44.16601217
2017 Q1,-4.239990234,9.048017778
2017 Q2,49.00994873,-10.66369865
2017 Q3,13.0300293,-2.164667025
2017 Q4,16.80999756,-4.014591455
2018 Q1,24.22998047,15.99446586
2018 Q2,62.20996094,-8.831340112
2018 Q3,46.68005371,11.03669856
2018 Q4,48.55004883,-20.5045279
2019 Q1,45.52990723,13.27506096
2019 Q2,9.200073242,20.45076539
2019 Q3,-11.33007813,11.47088355
2019 Q4,13.09008789,9.896057177
2020 Q1,3.08996582,5.527283375
2020 Q2,-11.42004395,91.90121093
2020 Q3,14.32006836,8.711957115
2020 Q4,-6.170043945,-8.693694964
2021 Q1,13.65002441,21.18318383
2021 Q2,51.33996582,31.1016474
2021 Q3,41.23999023,16.07648035
2021 Q4,41.81005859,2.360034792
2022 Q1,49.29992676,-11.79505231
2022 Q2,24.01000977,-12.00917322
2022 Q3,16.04003906,-16.19105699
