Date,Other,Securities lending,Commercial paper,Domestic money market funds,Repurchase agreements,Uninsured deposits
2002 Q1,73.82490768,68.48645276,64.81458376,51.76732591,30.24585268,11.2213538
2002 Q2,74.25948312,69.01192577,65.0508274,52.70979469,32.04750064,11.4801712
2002 Q3,73.92997737,68.47453982,65.72340267,53.56080179,33.3354939,12.38150759
2002 Q4,75.49877781,69.73923443,67.07414577,54.68612182,33.57389284,12.88164942
2003 Q1,75.83153803,69.90015144,66.65635496,54.5382295,34.19991047,13.19553592
2003 Q2,77.33552822,71.37629263,67.6822181,55.98150803,36.37474681,14.02211935
2003 Q3,75.18621223,69.53387667,65.0209784,53.85661492,35.13832179,13.50692573
2003 Q4,74.012062,68.48559591,63.84622143,52.90037169,35.21323584,13.53385069
2004 Q1,75.44678864,69.82154837,65.31875652,54.20650842,37.23693551,14.03742657
2004 Q2,75.87655264,70.24792016,64.84320602,54.11085363,37.90718001,14.41923144
2004 Q3,76.86012247,71.01973788,66.22916261,55.61609178,39.99809833,14.66919895
2004 Q4,77.22046592,71.51321145,66.08174052,54.94571253,39.36192838,15.14410661
2005 Q1,78.26950199,72.53443362,66.51856628,55.27462595,40.43170564,15.04202804
2005 Q2,80.50406679,74.79867454,68.15812025,56.59032826,41.91335343,15.15643072
2005 Q3,81.37505539,75.7062573,69.58471809,57.73863768,42.93666716,15.2811488
2005 Q4,81.43046953,75.70968785,70.10428733,57.79511675,42.35603304,15.77717409
2006 Q1,82.618861,76.94590882,71.33652574,58.85332836,43.70695908,15.49262021
2006 Q2,84.57062066,78.77834751,72.52149117,59.69394327,44.24783269,15.76425978
2006 Q3,88.90631586,82.64624954,75.61343939,62.16990896,46.15278662,15.46617993
2006 Q4,91.0951163,84.50329069,76.90446251,62.96161092,45.94579288,16.26198807
2007 Q1,94.27100113,87.36305363,78.7994358,64.70672227,47.67652098,15.39487663
2007 Q2,95.7674608,88.62292794,79.89834912,65.25191057,47.67173024,15.24456781
2007 Q3,94.71788679,87.30194942,79.768654,67.01613359,47.41414909,15.21393567
2007 Q4,95.69831341,87.81661028,80.07792551,67.92648145,46.54772118,16.05890309
2008 Q1,99.68064029,91.28096314,84.9457266,72.81377589,48.89313714,16.0681219
2008 Q2,101.4134017,92.53396384,80.4922112,68.73329688,45.38135368,15.50576409
2008 Q3,95.2054137,86.74281184,79.94730154,69.51150662,46.33853444,16.37606903
2008 Q4,86.08200007,77.7070541,71.17806707,60.23011952,33.94994204,12.19275287
2009 Q1,84.3752323,76.20610606,70.80971407,60.94257555,34.19081542,12.12707469
2009 Q2,82.95645975,74.90792506,68.77570543,59.88357022,34.04823145,12.12732653
2009 Q3,76.13110216,68.49171816,62.50522718,54.41263607,30.62947499,8.176508483
2009 Q4,71.85202726,65.10104949,59.29829449,51.53531059,28.98443978,8.666236433
2010 Q1,74.64082801,68.06356509,62.39557292,55.07416075,34.83171078,12.21509811
2010 Q2,72.5854396,66.35971482,60.7519034,53.88920129,35.06869637,12.2369495
2010 Q3,73.46009274,67.10716229,61.88381254,54.9455055,36.37777794,13.66544192
2010 Q4,68.48768021,62.27473939,57.17464172,50.26746624,31.86594234,9.532294565
2011 Q1,68.92678195,63.03862949,57.98885689,50.62007148,32.77587402,9.612799234
2011 Q2,68.26596931,62.79039236,57.59120759,50.63896212,33.36539659,10.09778261
2011 Q3,67.31756646,62.12599312,57.52858969,51.10951727,34.2718016,10.37504756
2011 Q4,66.57437222,61.35761809,57.19602949,51.07801624,34.04821285,10.46071626
2012 Q1,65.87280621,60.6559908,56.48524983,50.38991283,34.16592514,10.53835685
2012 Q2,65.45124721,60.24723211,56.0562617,50.21470933,34.54963508,10.59932157
2012 Q3,65.18026905,60.04187795,55.99953352,50.24206108,34.44842928,10.4764862
2012 Q4,66.62165083,61.53955089,57.93924563,52.22722416,35.97782509,11.90151175
2013 Q1,73.47909492,68.45580798,64.74414683,58.78555045,42.9734804,20.08509916
2013 Q2,72.10214187,67.33323233,63.42339053,57.55356214,41.99956934,20.08931375
2013 Q3,72.22967926,67.67697806,63.58063108,57.86497209,41.9303247,20.85771117
2013 Q4,71.43590745,65.55782803,61.74796005,56.25382759,40.52229191,21.46555505
2014 Q1,72.23518777,66.23211423,61.94681337,56.21967919,40.80411291,21.52733632
2014 Q2,71.09164219,65.10049743,60.83626626,55.13725148,40.49531402,21.96372581
2014 Q3,70.41065043,64.52862004,60.31163076,54.75579262,40.15161194,22.16040629
2014 Q4,70.11315657,64.52002868,60.57089864,55.41717818,40.14564228,22.69963778
2015 Q1,70.06253689,64.54589899,60.60000242,55.36205143,40.4584987,22.79279439
2015 Q2,68.20699406,62.92769322,59.17639614,53.85336346,39.55405636,22.6033577
2015 Q3,68.57756276,63.34410955,59.72100649,54.36268384,39.78727664,22.54249588
2015 Q4,68.2153369,62.83434018,59.29202507,54.21253558,39.1650602,22.96688829
2016 Q1,68.78332595,63.60887975,60.01583207,54.52979581,39.52055771,23.09123317
2016 Q2,69.18189277,63.92342178,60.41335583,55.01038619,40.4061364,23.26322377
2016 Q3,68.56559521,63.31690539,59.98516267,55.18633451,40.91019378,23.83718043
2016 Q4,67.57970725,62.22864904,59.15938115,54.54871535,40.1600974,24.04019273
2017 Q1,67.35767241,62.03450309,58.83561118,53.99527493,40.13651611,23.83372821
2017 Q2,67.36494634,62.16270726,58.75490192,54.01334581,40.43116473,23.67403379
2017 Q3,67.58721969,62.30309332,58.87980566,53.91074218,39.90143041,23.69791868
2017 Q4,67.77892661,62.49281098,59.19676559,54.39340778,40.08081788,23.83893138
2018 Q1,66.84607553,61.70124436,58.39410502,53.24335322,39.20642067,23.42652022
2018 Q2,65.99618937,60.80022474,57.45941666,52.37296803,38.5721921,22.80812283
2018 Q3,65.86487237,60.64963327,57.47652372,52.47232243,38.5340167,22.87946805
2018 Q4,68.16853049,62.94539036,60.06075499,55.32641973,40.72972076,23.30098256
